Node,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,Total Distance,Average Distance
22,5,3,3,3,5,5,3,4,4,6,7,4,3,6,4,7,5,5,4,2,4,2,0,4,7,2,3,4,1,6,4,7,2,3,6,2,1,146,4.055555555555555
23,4,5,5,3,3,5,4,3,4,4,7,2,1,6,2,5,5,6,4,4,5,4,4,0,5,4,3,2,3,7,4,5,2,1,4,2,3,140,3.888888888888889
24,7,8,8,6,2,8,7,6,5,1,10,5,4,9,3,3,4,9,7,7,8,7,7,5,0,7,6,3,6,10,7,2,5,4,3,5,6,210,5.833333333333333
25,6,1,3,3,5,6,3,5,4,6,8,6,5,7,6,7,5,5,5,3,4,2,2,4,7,0,4,4,1,6,2,7,4,3,6,2,3,160,4.444444444444445
26,2,5,3,5,4,2,1,1,6,5,4,2,2,3,3,6,6,3,1,1,2,2,3,3,6,4,0,5,3,4,6,6,1,4,5,4,2,125,3.4722222222222223
27,6,5,5,3,1,7,5,5,4,2,9,4,3,8,2,3,3,7,6,5,6,4,4,2,3,4,5,0,3,8,4,3,4,1,2,2,5,153,4.25
28,5,2,2,2,4,5,2,4,3,5,7,5,4,6,5,6,4,4,4,2,3,1,1,3,6,1,3,3,0,5,3,6,3,2,5,1,2,129,3.5833333333333335
29,6,7,3,7,8,6,3,5,8,9,8,6,6,7,7,10,9,1,5,5,2,4,6,7,10,6,4,8,5,0,8,10,5,7,9,6,6,229,6.361111111111111
30,8,1,5,1,5,8,5,7,2,6,10,6,5,9,6,5,3,7,7,5,6,4,4,4,7,2,6,4,3,8,0,6,6,3,4,2,5,185,5.138888888888889
31,7,7,8,5,2,8,7,6,4,1,10,5,4,9,3,1,3,9,7,7,8,7,7,5,2,7,6,3,6,10,6,0,5,4,2,5,6,202,5.611111111111111
32,3,5,4,5,3,3,2,2,6,4,5,2,1,4,2,5,5,4,2,2,3,3,2,2,5,4,1,4,3,5,6,5,0,3,4,4,1,124,3.4444444444444446
33,5,4,4,2,2,6,4,4,3,3,8,3,2,7,3,4,4,6,5,4,5,3,3,1,4,3,4,1,2,7,3,4,3,0,3,1,4,134,3.7222222222222223
34,6,5,7,3,1,7,6,5,2,2,9,4,3,8,2,1,1,8,6,6,7,6,6,4,3,6,5,2,5,9,4,2,4,3,0,4,5,167,4.638888888888889
35,6,3,3,1,3,6,3,5,2,4,8,4,3,7,4,5,3,5,5,3,4,2,2,2,5,2,4,2,1,6,2,5,4,1,4,0,3,132,3.6666666666666665
36,4,4,3,4,4,4,3,3,5,5,6,3,2,5,3,6,6,5,3,1,4,2,1,3,6,3,2,5,2,6,5,6,1,4,5,3,0,137,3.8055555555555554

Overall Total Distance,3018
Overall Average Distance,4.531531531531532
